UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
MG,31,22801,Dom Viçoso,2.992
MG,31,22900,Dona Euzébia,6.664
MG,31,23007,Dores de Campos,10.291
MG,31,23106,Dores de Guanhães,5.139
MG,31,23205,Dores do Indaiá,13.373
MG,31,23304,Dores do Turvo,4.202
MG,31,23403,Doresópolis,1.539
MG,31,23502,Douradoquara,1.915
MG,31,23528,Durandé,7.898
MG,31,23601,Elói Mendes,28.556
MG,31,23700,Engenheiro Caldas,11.268
MG,31,23809,Engenheiro Navarro,7.240
MG,31,23858,Entre Folhas,5.383
MG,31,23908,Entre Rios de Minas,15.458
MG,31,24005,Ervália,19.019
MG,31,24104,Esmeraldas,72.512
MG,31,24203,Espera Feliz,25.287
MG,31,24302,Espinosa,31.603
MG,31,24401,Espírito Santo do Dourado,4.728
MG,31,24500,Estiva,11.416
MG,31,24609,Estrela Dalva,2.308
MG,31,24708,Estrela do Indaiá,3.483
MG,31,24807,Estrela do Sul,8.057
MG,31,24906,Eugenópolis,11.383
MG,31,25002,Ewbank da Câmara,3.932
MG,31,25101,Extrema,37.649
MG,31,25200,Fama,2.374
MG,31,25309,Faria Lemos,3.202
MG,31,25408,Felício dos Santos,4.656
MG,31,25507,São Gonçalo do Rio Preto,3.178
MG,31,25606,Felisburgo,7.548
MG,31,25705,Felixlândia,15.528
MG,31,25804,Fernandes Tourinho,3.500
MG,31,25903,Ferros,9.576
MG,31,25952,Fervedouro,11.100
MG,31,26000,Florestal,7.602
MG,31,26109,Formiga,67.956
MG,31,26208,Formoso,9.810
MG,31,26307,Fortaleza de Minas,4.460
MG,31,26406,Fortuna de Minas,2.986
MG,31,26505,Francisco Badaró,10.311
MG,31,26604,Francisco Dumont,5.268
MG,31,26703,Francisco Sá,26.459
MG,31,26752,Franciscópolis,5.287
MG,31,26802,Frei Gaspar,5.858
MG,31,26901,Frei Inocêncio,9.716
MG,31,26950,Frei Lagonegro,3.496
MG,31,27008,Fronteira,18.866
MG,31,27057,Fronteira dos Vales,4.542
MG,31,27073,Fruta de Leite,5.232
MG,31,27107,Frutal,60.508
MG,31,27206,Funilândia,4.434
MG,31,27305,Galiléia,6.764
MG,31,27339,Gameleiras,5.084
MG,31,27354,Glaucilândia,3.177
MG,31,27370,Goiabeira,3.402
MG,31,27388,Goianá,4.014
MG,31,27404,Gonçalves,4.360
MG,31,27503,Gonzaga,6.184
MG,31,27602,Gouveia,11.811
MG,31,27701,Governador Valadares,282.164
MG,31,27800,Grão Mogol,15.943
MG,31,27909,Grupiara,1.386
MG,31,28006,Guanhães,34.818
MG,31,28105,Guapé,14.269
MG,31,28204,Guaraciaba,10.307
MG,31,28253,Guaraciama,5.005
MG,31,28303,Guaranésia,19.014
MG,31,28402,Guarani,8.926
MG,31,28501,Guarará,3.755
MG,31,28600,Guarda-Mor,6.558
MG,31,28709,Guaxupé,52.234
MG,31,28808,Guidoval,7.026
MG,31,28907,Guimarânia,8.168
MG,31,29004,Guiricema,8.296
MG,31,29103,Gurinhatã,5.516
MG,31,29202,Heliodora,6.623
MG,31,29301,Iapu,11.085
MG,31,29400,Ibertioga,4.999
MG,31,29509,Ibiá,25.511
MG,31,29608,Ibiaí,8.478
MG,31,29657,Ibiracatu,5.340
MG,31,29707,Ibiraci,14.128
MG,31,29806,Ibirité,184.030
MG,31,29905,Ibitiúra de Minas,3.497
MG,31,30002,Ibituruna,3.003
MG,31,30051,Icaraí de Minas,12.200
MG,31,30101,Igarapé,44.561
MG,31,30200,Igaratinga,11.146
MG,31,30309,Iguatama,7.901
MG,31,30408,Ijaci,6.667
MG,31,30507,Ilicínea,12.511
MG,31,30556,Imbé de Minas,6.976
MG,31,30606,Inconfidentes,7.387
MG,31,30655,Indaiabira,7.328
MG,31,30705,Indianópolis,7.009
MG,31,30804,Ingaí,2.785
MG,31,30903,Inhapim,24.020
MG,31,31000,Inhaúma,6.352
MG,31,31109,Inimutaba,7.605
MG,31,31158,Ipaba,18.926
MG,31,31208,Ipanema,20.133
MG,31,31307,Ipatinga,267.333
MG,31,31406,Ipiaçu,4.229
MG,31,31505,Ipuiúna,10.156
MG,31,31604,Iraí de Minas,7.067
MG,31,31703,Itabira,121.717
MG,31,31802,Itabirinha,11.637
MG,31,31901,Itabirito,52.996
MG,31,32008,Itacambira,5.447
MG,31,32107,Itacarambi,18.175
MG,31,32206,Itaguara,13.510
MG,31,32305,Itaipé,12.910
MG,31,32404,Itajubá,97.782
MG,31,32503,Itamarandiba,35.130
MG,31,32602,Itamarati de Minas,4.395
MG,31,32701,Itambacuri,23.207
MG,31,32800,Itambé do Mato Dentro,2.032
MG,31,32909,Itamogi,10.122
MG,31,33006,Itamonte,15.844
MG,31,33105,Itanhandu,15.511
MG,31,33204,Itanhomi,12.259
MG,31,33303,Itaobim,20.997
MG,31,33402,Itapagipe,15.511
